condition,final_mean_opinion,final_std_opinion,final_opinion_variance,final_extremist_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
pathology_0.2,-0.15346711485142742,0.7153362013878244,0.5104266163134217,0.735,0.5947670708359923,0.40523292916400766,-0.038317367763431996,1567
healing_0.8,-0.2708487803701387,0.559425982093364,0.3121750358675221,0.4775,0.616504854368932,0.383495145631068,-0.025966179165022023,1648
