involvement_threshold,opinion_variance_mean,opinion_variance_std,opinion_variance_sem,opinion_variance_ci_low,opinion_variance_ci_high,opinion_variance_n,extremist_ratio_mean,extremist_ratio_std,extremist_ratio_sem,extremist_ratio_ci_low,extremist_ratio_ci_high,extremist_ratio_n,homophily_ratio_mean,homophily_ratio_std,homophily_ratio_sem,homophily_ratio_ci_low,homophily_ratio_ci_high,homophily_ratio_n,sign_modularity_mean,sign_modularity_std,sign_modularity_sem,sign_modularity_ci_low,sign_modularity_ci_high,sign_modularity_n,cross_cutting_ratio_mean,cross_cutting_ratio_std,cross_cutting_ratio_sem,cross_cutting_ratio_ci_low,cross_cutting_ratio_ci_high,cross_cutting_ratio_n,edge_count_mean,edge_count_std,edge_count_sem,edge_count_ci_low,edge_count_ci_high,edge_count_n,opinion_variance_drop_vs_baseline,extremist_ratio_drop_vs_baseline
0.1,0.6013950655521021,0.0,0.0,0.6013950655521021,0.6013950655521021,1,0.8675,0.0,0.0,0.8675,0.8675,1,0.6338400528750826,0.0,0.0,0.6338400528750826,0.6338400528750826,1,-0.019756024118506806,0.0,0.0,-0.019756024118506806,-0.019756024118506806,1,0.3661599471249174,0.0,0.0,0.3661599471249174,0.3661599471249174,1,1513.0,0.0,0.0,1513.0,1513.0,1,0.0,0.0
0.3,0.4409870611903452,0.0,0.0,0.4409870611903452,0.4409870611903452,1,0.6375,0.0,0.0,0.6375,0.6375,1,0.5979314802844214,0.0,0.0,0.5979314802844214,0.5979314802844214,1,-0.03613354351399222,0.0,0.0,-0.03613354351399222,-0.03613354351399222,1,0.40206851971557855,0.0,0.0,0.40206851971557855,0.40206851971557855,1,1547.0,0.0,0.0,1547.0,1547.0,1,0.1604080043617569,0.2300000000000001
0.5,0.36153893227120304,0.0,0.0,0.36153893227120304,0.36153893227120304,1,0.5475,0.0,0.0,0.5475,0.5475,1,0.616504854368932,0.0,0.0,0.616504854368932,0.616504854368932,1,-0.025966179165022023,0.0,0.0,-0.025966179165022023,-0.025966179165022023,1,0.383495145631068,0.0,0.0,0.383495145631068,0.383495145631068,1,1648.0,0.0,0.0,1648.0,1648.0,1,0.23985613328089905,0.32000000000000006
0.7,0.31844223054255294,0.0,0.0,0.31844223054255294,0.31844223054255294,1,0.4775,0.0,0.0,0.4775,0.4775,1,0.616504854368932,0.0,0.0,0.616504854368932,0.616504854368932,1,-0.025966179165022023,0.0,0.0,-0.025966179165022023,-0.025966179165022023,1,0.383495145631068,0.0,0.0,0.383495145631068,0.383495145631068,1,1648.0,0.0,0.0,1648.0,1648.0,1,0.28295283500954915,0.39000000000000007
0.9,0.3091518268276568,0.0,0.0,0.3091518268276568,0.3091518268276568,1,0.4775,0.0,0.0,0.4775,0.4775,1,0.616504854368932,0.0,0.0,0.616504854368932,0.616504854368932,1,-0.025966179165022023,0.0,0.0,-0.025966179165022023,-0.025966179165022023,1,0.383495145631068,0.0,0.0,0.383495145631068,0.383495145631068,1,1648.0,0.0,0.0,1648.0,1648.0,1,0.2922432387244453,0.39000000000000007
