condition,final_mean_opinion,final_std_opinion,final_opinion_variance,final_extremist_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
pathology_0.2,-0.2284577399597164,0.8798300509498096,0.7721656662579588,0.8225,0.606516290726817,0.393483709273183,-0.060276134641661525,1596
healing_0.8,-0.39155316377986266,0.667573180448909,0.444539816376535,0.56,0.6130653266331658,0.3869346733668342,-0.047010716450508694,1592
