node,F_t,L,o_t,tau_t,tau_t1,s_t,Abar,A_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
30,8,0,-1.0,10.0,10.0,-1,0.4035767532159883,0.7465971966464728,0,0,0.0,0.0,6.0,6.5,0.17936380634662635,0.0,0.0,6.0,6.5,-1.0,-1,8,0.7465971966464728
31,3,0,-1.0,10.0,10.0,-1,0.6582817113981441,1.0,1,1,0.0,1.0,6.5,5.5,0.24766291175337332,0.0,1.0,6.5,5.5,-1.0,-1,3,1.0
32,10,0,-1.0,10.0,10.0,-1,0.6369793192043955,1.0,0,0,0.0,0.0,7.0,6.5,0.2787790148793098,0.0,0.0,7.0,6.5,-1.0,-1,10,1.0
33,6,0,-1.0,10.0,10.0,-1,0.5605347359050314,0.9750880525432954,0,0,0.0,1.0,6.5,5.0,0.2555799821665331,0.0,1.0,6.5,5.0,-1.0,-1,6,0.9750880525432954
34,121,1,-1.0,10.0,10.0,-1,0.5350887040435066,0.9101533957141011,0,0,0.0,2.0,9.0,2.5,0.4,0.0,2.0,9.0,2.5,-1.0,-1,121,0.9101533957141011
35,0,0,0.8096887529762741,10.0,10.0,1,0.6408220933397514,1.0,0,0,0.0,0.0,8.0,5.5,0.16428801836137297,0.0,0.0,8.0,5.5,0.8096887529762741,1,0,1.0
36,3,0,-1.0,10.0,10.0,-1,0.7995559410232729,1.0,0,0,0.0,2.0,5.0,1.5,0.23086623816251947,0.0,2.0,5.0,1.5,-1.0,-1,3,1.0
37,1,0,-1.0,10.0,10.0,-1,0.5471313495895312,0.9231176111362147,0,0,0.0,1.0,7.0,4.5,0.18393094360654916,0.0,1.0,7.0,4.5,-1.0,-1,1,0.9231176111362147
38,7,0,-0.7885939476250817,10.0,10.0,-1,0.6852307230573489,0.8511384338344095,0,0,0.0,0.0,1.0,1.0,0.2630570378634295,0.0,0.0,1.0,1.0,-0.7885939476250817,-1,7,0.8511384338344095
39,9,0,-1.0,10.0,10.0,-1,0.6465642303893497,0.94793853823361,0,0,0.0,1.0,2.5,5.5,0.27401356318254483,0.0,1.0,2.5,5.5,-1.0,-1,9,0.94793853823361
40,5,0,-1.0,10.0,10.0,-1,0.7134850412202955,0.9480910247321773,0,0,0.0,0.0,1.5,5.5,0.24935408663733236,0.0,0.0,1.5,5.5,-1.0,-1,5,0.9480910247321773
41,4,0,-1.0,10.0,10.0,-1,0.7727149168304832,1.0,1,1,0.0,0.0,6.0,2.5,0.24935408663733236,0.0,0.0,6.0,2.5,-1.0,-1,4,1.0
42,1,0,0.1291710294570881,10.0,10.0,1,0.31584992447648913,0.6814490106617509,0,0,0.0,1.0,4.5,7.5,0.11476288017319057,0.0,1.0,4.5,7.5,0.1291710294570881,1,1,0.6814490106617509
43,6,0,-1.0,10.0,10.0,-1,0.2992757818370698,0.6056942953062162,0,0,0.0,0.0,5.5,3.0,0.15896586624050665,0.0,0.0,5.5,3.0,-1.0,-1,6,0.6056942953062162
44,5,0,0.7367701473606377,10.0,10.0,1,0.5518110970489406,0.9026316007039559,0,0,0.0,0.0,5.0,6.5,0.22616254274247818,0.0,0.0,5.0,6.5,0.7367701473606377,1,5,0.9026316007039559
45,166,1,-1.0,10.0,10.0,-1,0.46957703773190274,0.8359572019650499,1,0,0.0,0.0,6.0,5.5,0.4,0.0,0.0,6.0,5.5,-1.0,-1,166,0.8359572019650499
46,6,0,-0.8394736239389776,10.0,10.0,-1,0.5424336157515016,0.8301178643434056,0,0,0.0,1.0,6.0,1.0,0.22748575358804346,0.0,1.0,6.0,1.0,-0.8394736239389776,-1,6,0.8301178643434056
47,9,0,-1.0,10.0,10.0,-1,0.6788256406913051,0.9472953844147831,0,0,0.0,0.0,4.5,3.5,0.27401356318254483,0.0,0.0,4.5,3.5,-1.0,-1,9,0.9472953844147831
48,7,0,-1.0,10.0,10.0,-1,0.759028688029548,0.9754172128177289,0,0,0.0,0.0,2.0,4.5,0.2630570378634295,0.0,0.0,2.0,4.5,-1.0,-1,7,0.9754172128177289
49,11,0,-1.0,10.0,10.0,-1,0.4504494951191349,0.731080982754501,0,0,0.0,0.0,4.0,4.5,0.21667951360229645,0.0,0.0,4.0,4.5,-1.0,-1,11,0.731080982754501
50,11,0,-1.0,10.0,10.0,-1,0.6307595873261748,0.9037321418906247,0,0,0.0,0.0,4.0,4.5,0.2699197859018452,0.0,0.0,4.0,4.5,-1.0,-1,11,0.9037321418906247
