node,F_t,L,o_t,tau_t,tau_t1,s_t,Abar,A_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
128,5,0,-1.0,10.0,10.0,-1,0.4792643940583791,0.7207666730629871,0,0,0.0,1.0,2.5,1.5,0.21204809060805324,0.0,1.0,2.5,1.5,-1.0,-1,5,0.7207666730629871
129,1,0,-1.0,10.0,10.0,-1,0.7923183433293914,1.0,1,1,0.0,1.0,6.5,1.5,0.23086623816251947,0.0,1.0,6.5,1.5,-1.0,-1,1,1.0
130,3,0,-1.0,10.0,10.0,-1,0.7274581275147882,0.956474876508873,0,0,0.0,0.0,3.0,4.5,0.23086623816251947,0.0,0.0,3.0,4.5,-1.0,-1,3,0.956474876508873
131,15,0,-1.0,10.0,10.0,-1,0.3181728017992949,0.5971917017007222,0,0,1.0,1.0,4.5,2.5,0.17529481943618627,1.0,1.0,4.5,2.5,-1.0,-1,15,0.5971917017007222
132,5,0,-1.0,10.0,10.0,-1,0.6720535232937425,0.9632321139762455,0,0,0.0,2.0,4.5,2.5,0.24935408663733236,0.0,2.0,4.5,2.5,-1.0,-1,5,0.9632321139762455
133,4,0,-1.0,10.0,10.0,-1,0.5605707466098597,0.9103843130966118,0,0,0.0,0.0,6.0,5.5,0.22020843520094838,0.0,0.0,6.0,5.5,-1.0,-1,4,0.9103843130966118
134,4,0,-1.0,10.0,10.0,-1,0.5208867786847009,0.8667958453635349,0,0,0.0,1.0,8.0,3.5,0.1910111207954853,0.0,1.0,8.0,3.5,-1.0,-1,4,0.8667958453635349
135,11,0,-1.0,10.0,10.0,-1,0.5083631519477411,0.790869055257879,0,0,0.0,0.0,2.5,5.0,0.23641366655522544,0.0,0.0,2.5,5.0,-1.0,-1,11,0.790869055257879
136,6,0,-0.11061175302568621,10.0,10.0,-1,0.7120466856694574,1.0,0,0,0.0,0.0,7.0,6.5,0.256636883147566,0.0,0.0,7.0,6.5,-0.11061175302568621,-1,6,1.0
137,2,0,-1.0,10.0,10.0,-1,0.5665236733420692,0.9999142040052416,1,1,0.0,1.0,5.0,2.5,0.20153739223931602,0.0,1.0,5.0,2.5,-1.0,-1,2,0.9999142040052416
138,1,0,0.6114209815192545,10.0,10.0,-1,0.5226235910322403,0.7670631002301512,1,0,0.0,0.0,5.5,1.5,0.15762414216357373,0.0,0.0,5.5,1.5,0.6114209815192545,-1,1,0.7670631002301512
139,2,0,-1.0,10.0,10.0,-1,0.22931594405482947,0.5437881295266492,0,0,0.0,1.0,5.5,3.5,0.11330142100229541,0.0,1.0,5.5,3.5,-1.0,-1,2,0.5437881295266492
140,1,0,-1.0,10.0,10.0,-1,0.4689817218551345,0.835189208340431,0,0,0.0,0.0,4.0,6.0,0.18323043802324962,0.0,0.0,4.0,6.0,-1.0,-1,1,0.835189208340431
141,10,0,-1.0,10.0,10.0,-1,0.7448249372273048,1.0,1,1,0.0,0.0,5.5,4.5,0.27401356318254483,0.0,0.0,5.5,4.5,-1.0,-1,10,1.0
142,2,0,-1.0,10.0,10.0,-1,0.6270420376067715,0.8289097614440382,0,0,0.0,0.0,3.5,1.5,0.19809133535828463,0.0,0.0,3.5,1.5,-1.0,-1,2,0.8289097614440382
143,3,0,-0.6581091402952649,10.0,10.0,-1,0.23057238683369208,0.44477334388093065,0,0,0.0,0.0,4.0,1.0,0.1208408225927867,0.0,0.0,4.0,1.0,-0.6581091402952649,-1,3,0.44477334388093065
144,1,0,0.8257851395852266,10.0,10.0,1,0.7303953692906255,1.0,1,1,0.0,1.0,3.5,2.5,0.21834332030706596,0.0,1.0,3.5,2.5,0.8257851395852266,1,1,1.0
145,6,0,-1.0,9.640315709080244,9.640315709080244,-1,0.6960003328262325,1.0,1,1,1.0,3.0,3.5,2.5,0.23086623816251947,1.0,3.0,3.5,2.5,-1.0,-1,6,1.0
146,6,0,-0.7541571332790721,10.0,10.0,-1,0.5280105269417168,0.7770073383990649,0,0,0.0,0.0,5.0,2.5,0.2087266697236121,0.0,0.0,5.0,2.5,-0.7541571332790721,-1,6,0.7770073383990649
147,12,0,-1.0,10.0,10.0,-1,0.2134432791093689,0.4963668734334674,0,0,0.0,0.0,5.0,3.5,0.15690903925418845,0.0,0.0,5.0,3.5,-1.0,-1,12,0.4963668734334674
148,12,0,-1.0,10.0,10.0,-1,0.5374577708202805,0.8218422032470808,0,0,0.0,1.0,3.5,3.5,0.2513154656273729,0.0,1.0,3.5,3.5,-1.0,-1,12,0.8218422032470808
149,7,0,-0.6736133810808698,10.0,10.0,-1,0.23275342995585568,0.693290417822743,1,1,1.0,0.0,7.0,4.5,0.1403784983964892,1.0,0.0,7.0,4.5,-0.6736133810808698,-1,7,0.693290417822743
150,10,0,-1.0,10.0,10.0,-1,0.3922273757824883,0.7918534239982586,1,1,0.0,1.0,5.5,2.5,0.19154113135323955,0.0,1.0,5.5,2.5,-1.0,-1,10,0.7918534239982586
151,10,0,-1.0,10.0,10.0,-1,0.5773457713416434,0.9388897506431051,1,1,0.0,1.0,3.5,2.5,0.2500804193436502,0.0,1.0,3.5,2.5,-1.0,-1,10,0.9388897506431051
152,9,0,-1.0,10.0,10.0,-1,0.7477478503293047,0.9686487101975828,0,0,0.0,1.0,4.0,2.5,0.27401356318254483,0.0,1.0,4.0,2.5,-1.0,-1,9,0.9686487101975828
153,4,0,-1.0,10.0,10.0,-1,0.4146773823556873,0.6246051111893169,0,0,0.0,1.0,1.5,1.5,0.1784995428364096,0.0,1.0,1.5,1.5,-1.0,-1,4,0.6246051111893169
154,2,0,-1.0,10.0,10.0,-1,0.716014269730072,0.9696085618380432,0,0,0.0,1.0,3.5,3.5,0.21834332030706596,0.0,1.0,3.5,3.5,-1.0,-1,2,0.9696085618380432
155,2,0,-0.33136706466480464,10.0,10.0,1,0.7510166062403099,0.970609963744186,1,0,0.0,1.0,3.0,3.5,0.21834332030706596,0.0,1.0,3.0,3.5,-0.33136706466480464,1,2,0.970609963744186
156,11,0,-1.0,10.0,10.0,-1,0.2126263282743886,0.5696950503457927,0,0,0.0,0.0,7.0,4.5,0.16256895206184724,0.0,0.0,7.0,4.5,-1.0,-1,11,0.5696950503457927
157,3,0,-1.0,10.0,10.0,-1,0.34365670265151893,0.685943469089906,0,0,0.0,1.0,6.5,3.5,0.1487354283920166,0.0,1.0,6.5,3.5,-1.0,-1,3,0.685943469089906
158,12,0,-0.8762718685034964,10.0,10.0,-1,0.6259173795364994,0.9748679855700457,0,0,0.0,0.0,5.0,7.5,0.2685810566166308,0.0,0.0,5.0,7.5,-0.8762718685034964,-1,12,0.9748679855700457
159,3,0,-1.0,10.0,10.0,-1,0.6541058258477291,1.0,1,1,0.0,1.0,4.0,2.0,0.21093627133750237,0.0,1.0,4.0,2.0,-1.0,-1,3,1.0
160,3,0,-1.0,10.0,10.0,-1,0.4354501101302325,0.9700778633228905,1,1,0.0,0.0,9.0,4.5,0.24212602294330174,0.0,0.0,9.0,4.5,-1.0,-1,3,0.9700778633228905
161,7,0,-1.0,10.0,10.0,-1,0.5940527676637131,0.8810037415941724,0,0,0.0,1.0,2.5,4.5,0.24982136230406857,0.0,1.0,2.5,4.5,-1.0,-1,7,0.8810037415941724
162,9,0,-1.0,10.0,10.0,-1,0.5672951704172211,0.8391405831132112,0,0,0.0,0.0,3.5,3.5,0.2554186666615548,0.0,0.0,3.5,3.5,-1.0,-1,9,0.8391405831132112
163,6,0,-1.0,10.0,10.0,-1,0.643864976960636,0.9018576184351553,0,0,0.0,1.0,4.0,2.0,0.25282561597107006,0.0,1.0,4.0,2.0,-1.0,-1,6,0.9018576184351553
164,9,0,-1.0,10.0,10.0,-1,0.6311950566470732,0.8689855566547491,0,0,0.0,0.0,6.0,2.5,0.23180530831739415,0.0,0.0,6.0,2.5,-1.0,-1,9,0.8689855566547491
165,5,0,-0.5430015110863113,10.0,10.0,-1,0.25152247879421685,0.5486939901509821,0,0,0.0,0.0,5.0,5.5,0.1276333762284419,0.0,0.0,5.0,5.5,-0.5430015110863113,-1,5,0.5486939901509821
166,1,0,0.09644877642998786,10.0,10.0,-1,0.2949501085640366,0.5623362805751351,0,0,0.0,0.0,4.0,3.5,0.12104564784566518,0.0,0.0,4.0,3.5,0.09644877642998786,-1,1,0.5623362805751351
167,1,0,-1.0,10.0,10.0,-1,0.2796362883555896,0.5980288788781054,0,0,1.0,0.0,5.0,4.5,0.11399164458384504,1.0,0.0,5.0,4.5,-1.0,-1,1,0.5980288788781054
168,2,0,-0.9099731168283224,10.0,10.0,-1,0.7594880419056915,1.0,0,0,0.0,0.0,5.5,7.5,0.21834332030706596,0.0,0.0,5.5,7.5,-0.9099731168283224,-1,2,1.0
169,3,0,-1.0,10.0,10.0,-1,0.7481255890117937,1.0,1,1,0.0,0.0,3.0,3.5,0.24935408663733236,0.0,0.0,3.0,3.5,-1.0,-1,3,1.0
170,1,0,0.489987236697811,10.0,10.0,1,0.6784473617581821,0.9470684170549093,0,0,0.0,0.0,3.0,5.5,0.20153739223931602,0.0,0.0,3.0,5.5,0.489987236697811,1,1,0.9470684170549093
171,3,0,-1.0,10.0,10.0,-1,0.27003113640557563,0.7200599605477462,1,1,0.0,0.0,7.0,4.5,0.143507929556547,0.0,0.0,7.0,4.5,-1.0,-1,3,0.7200599605477462
172,1,0,0.4047142539382185,10.0,10.0,1,0.5445628819517516,0.8356817428064601,0,0,0.0,0.0,6.0,3.5,0.1670799604787202,0.0,0.0,6.0,3.5,0.4047142539382185,1,1,0.8356817428064601
173,0,0,-1.0,10.0,10.0,-1,0.31233837565391087,0.6175350000768512,0,0,0.0,1.0,4.0,4.5,0.10579742961586436,0.0,1.0,4.0,4.5,-1.0,-1,0,0.6175350000768512
174,0,0,0.7268592764580611,10.0,10.0,1,0.42103036253528153,0.7115066770636826,0,0,0.0,0.0,4.5,4.5,0.11867875073431655,0.0,0.0,4.5,4.5,0.7268592764580611,1,0,0.7115066770636826
175,1,0,-1.0,10.0,10.0,-1,0.36025476598244777,0.642022325776997,0,0,0.0,0.0,6.0,2.0,0.1312101982185686,0.0,0.0,6.0,2.0,-1.0,-1,1,0.642022325776997
176,1,0,-1.0,10.0,10.0,-1,0.6973585888924796,0.9084662090168322,0,0,0.0,1.0,3.0,2.0,0.1944291300928331,0.0,1.0,3.0,2.0,-1.0,-1,1,0.9084662090168322
177,6,0,-1.0,10.0,10.0,-1,0.28667083971156393,0.5260133589669915,0,0,0.0,1.0,2.5,1.5,0.16376549110032249,0.0,1.0,2.5,1.5,-1.0,-1,6,0.5260133589669915
178,3,0,-0.7062878698276562,9.817811722018893,9.817811722018893,-1,0.5877075011660455,0.9996325261003489,1,1,0.0,4.0,5.0,3.5,0.17771728133484715,0.0,4.0,5.0,3.5,-0.7062878698276562,-1,3,0.9996325261003489
179,15,0,-0.35828449701556564,10.0,10.0,-1,0.7903367982657001,0.9542020789594201,0,0,0.0,1.0,1.0,2.0,0.29799730097705146,0.0,1.0,1.0,2.0,-0.35828449701556564,-1,15,0.9542020789594201
180,4,0,-1.0,10.0,10.0,-1,0.6122327499521801,0.8599865264553788,0,0,0.0,0.0,2.5,4.5,0.2191323859955521,0.0,0.0,2.5,4.5,-1.0,-1,4,0.8599865264553788
181,9,0,-1.0,10.0,10.0,1,0.24754009340417585,0.5889301815098269,0,0,0.0,1.0,5.0,5.5,0.155443914035492,0.0,1.0,5.0,5.5,-1.0,1,9,0.5889301815098269
182,5,0,-0.841811675521104,10.0,10.0,-1,0.744709701177515,0.986825820706509,0,0,0.0,1.0,4.0,3.5,0.24935408663733236,0.0,1.0,4.0,3.5,-0.841811675521104,-1,5,0.986825820706509
183,3,0,-1.0,10.0,10.0,-1,0.5858478066137578,0.9229833135674018,0,0,0.0,1.0,4.0,5.5,0.2241244637639918,0.0,1.0,4.0,5.5,-1.0,-1,3,0.9229833135674018
184,9,0,-1.0,10.0,10.0,-1,0.47378658776312216,0.8355128332777836,0,0,0.0,2.0,5.0,6.5,0.20201146709571463,0.0,2.0,5.0,6.5,-1.0,-1,9,0.8355128332777836
185,1,0,-1.0,10.0,10.0,-1,0.5958154871246713,0.9733654217312973,1,1,0.0,0.0,3.5,4.5,0.20038267673345972,0.0,0.0,3.5,4.5,-1.0,-1,1,0.9733654217312973
186,7,0,-1.0,10.0,10.0,-1,0.7274265982835824,1.0,0,0,0.0,1.0,3.0,6.5,0.2630570378634295,0.0,1.0,3.0,6.5,-1.0,-1,7,1.0
187,3,0,-0.5065698766761807,10.0,10.0,-1,0.48627633674914966,0.6991216210817446,0,0,0.0,0.0,4.0,1.0,0.17794610660610655,0.0,0.0,4.0,1.0,-0.5065698766761807,-1,3,0.6991216210817446
188,1,0,0.23843675557671137,10.0,10.0,1,0.5187928896873376,0.8365105794168739,0,0,0.0,0.0,6.0,4.5,0.16477002398928026,0.0,0.0,6.0,4.5,0.23843675557671137,1,1,0.8365105794168739
189,10,0,-0.6137990172565329,10.0,10.0,-1,0.47146843953077217,0.6934319995087493,0,0,0.0,0.0,5.0,2.5,0.19107395109736994,0.0,0.0,5.0,2.5,-0.6137990172565329,-1,10,0.6934319995087493
190,7,0,-1.0,10.0,10.0,-1,0.24355485579419917,0.5223444678996175,0,0,0.0,0.0,5.0,1.5,0.16977994713118127,0.0,0.0,5.0,1.5,-1.0,-1,7,0.5223444678996175
191,8,0,-0.4537737741379478,10.0,10.0,-1,0.6722420761564152,1.0,0,0,0.0,2.0,4.0,6.5,0.2688050229391696,0.0,2.0,4.0,6.5,-0.4537737741379478,-1,8,1.0
192,10,0,-1.0,10.0,10.0,-1,0.27584704618510336,0.5290775023207377,0,0,0.0,0.0,1.5,4.0,0.1730069611542915,0.0,0.0,1.5,4.0,-1.0,-1,10,0.5290775023207377
193,10,0,-1.0,10.0,10.0,-1,0.4367420061729862,0.7056259827803726,0,0,1.0,0.0,4.0,3.5,0.2003012395887908,1.0,0.0,4.0,3.5,-1.0,-1,10,0.7056259827803726
194,13,0,-1.0,10.0,10.0,1,0.43209370736463754,0.6776329829092967,0,0,0.0,0.0,2.5,3.5,0.22139761433018773,0.0,0.0,2.5,3.5,-1.0,1,13,0.6776329829092967
195,6,0,-1.0,10.0,10.0,-1,0.3680244752520428,0.7392637981410017,1,0,0.0,1.0,5.0,5.5,0.19302056387214306,0.0,1.0,5.0,5.5,-1.0,-1,6,0.7392637981410017
196,6,0,-1.0,10.0,10.0,-1,0.44150427553665106,0.8452812057407607,1,1,1.0,0.0,3.0,4.5,0.17339961442111532,1.0,0.0,3.0,4.5,-1.0,-1,6,0.8452812057407607
197,6,0,-1.0,10.0,10.0,-1,0.5708054662294573,0.8403540479029632,0,0,0.0,1.0,4.0,2.5,0.2381037286869905,0.0,1.0,4.0,2.5,-1.0,-1,6,0.8403540479029632
198,2,0,-0.9986367614640929,10.0,10.0,-1,0.3868323873246271,0.6530976870618733,0,0,0.0,0.0,3.0,4.5,0.1517610951205812,0.0,0.0,3.0,4.5,-0.9986367614640929,-1,2,0.6530976870618733
199,6,0,-1.0,10.0,10.0,-1,0.3035071626189659,0.6574939243944398,0,0,0.0,1.0,5.0,5.0,0.1646169445389189,0.0,1.0,5.0,5.0,-1.0,-1,6,0.6574939243944398
200,6,0,-1.0,10.0,10.0,-1,0.7216205063043599,1.0,1,0,0.0,1.0,6.0,6.0,0.256636883147566,0.0,1.0,6.0,6.0,-1.0,-1,6,1.0
201,5,0,-0.9288001696761238,10.0,10.0,-1,0.7824995899142815,1.0,0,0,0.0,0.0,6.0,4.0,0.24935408663733236,0.0,0.0,6.0,4.0,-0.9288001696761238,-1,5,1.0
202,6,0,-0.9912066132706459,10.0,10.0,-1,0.4751502943257924,0.8649087553118963,0,0,0.0,2.0,4.5,6.5,0.2084425727979238,0.0,2.0,4.5,6.5,-0.9912066132706459,-1,6,0.8649087553118963
203,1,0,-1.0,10.0,10.0,-1,0.39621182740675154,0.7044668133090249,0,0,0.0,0.0,6.0,3.0,0.14229175005150152,0.0,0.0,6.0,3.0,-1.0,-1,1,0.7044668133090249
204,5,0,-1.0,10.0,10.0,-1,0.2284892466669376,0.5169194751898909,0,0,0.0,2.0,2.5,4.0,0.1286617410563394,0.0,2.0,2.5,4.0,-1.0,-1,5,0.5169194751898909
205,3,0,-1.0,10.0,10.0,-1,0.2221109243660319,0.6618307533077439,1,1,1.0,1.0,4.0,4.5,0.1383453296493061,1.0,1.0,4.0,4.5,-1.0,-1,3,0.6618307533077439
206,11,0,-0.8178818185886345,10.0,10.0,-1,0.43572919738724125,0.8580379854375606,0,0,0.0,0.0,9.0,4.5,0.24525689219025376,0.0,0.0,9.0,4.5,-0.8178818185886345,-1,11,0.8580379854375606
207,5,0,-1.0,10.0,10.0,-1,0.7581452109805795,1.0,0,0,0.0,1.0,7.5,2.0,0.24935408663733236,0.0,1.0,7.5,2.0,-1.0,-1,5,1.0
208,8,0,-1.0,10.0,10.0,-1,0.6384251260409388,1.0,1,1,0.0,0.0,5.5,3.5,0.2787790148793098,0.0,0.0,5.5,3.5,-1.0,-1,8,1.0
209,1,0,-1.0,10.0,10.0,-1,0.409561651322465,0.6399827557314052,0,0,0.0,0.0,3.0,4.5,0.12536170086926138,0.0,0.0,3.0,4.5,-1.0,-1,1,0.6399827557314052
210,4,0,-1.0,10.0,10.0,-1,0.7808278551092367,1.0,0,0,0.0,0.0,4.5,3.5,0.24092031521132712,0.0,0.0,4.5,3.5,-1.0,-1,4,1.0
211,1,0,-1.0,10.0,10.0,-1,0.45725474195343846,0.8474236878344827,0,0,0.0,1.0,5.5,6.5,0.15737448467628615,0.0,1.0,5.5,6.5,-1.0,-1,1,0.8474236878344827
212,0,0,0.1391464552294439,10.0,10.0,1,0.36607564638478746,0.6567350242278229,0,0,0.0,0.0,6.0,3.5,0.10879620868008617,0.0,0.0,6.0,3.5,0.1391464552294439,1,0,0.6567350242278229
213,7,0,-0.6902139916587144,10.0,10.0,-1,0.45581194683461435,0.7581999511146721,0,0,0.0,0.0,2.5,5.5,0.21773206014211727,0.0,0.0,2.5,5.5,-0.6902139916587144,-1,7,0.7581999511146721
214,4,0,-0.8563636559094135,10.0,10.0,-1,0.3269259361902997,0.6172651274324771,0,0,0.0,1.0,4.0,3.5,0.15674521757862214,0.0,1.0,4.0,3.5,-0.8563636559094135,-1,4,0.6172651274324771
215,2,0,0.6927047451666861,10.0,10.0,-1,0.7313832621204774,1.0,1,1,0.0,0.0,4.0,5.5,0.23086623816251947,0.0,0.0,4.0,5.5,0.6927047451666861,-1,2,1.0
216,0,0,-1.0,10.0,10.0,-1,0.4167039862506142,0.7968555580752299,0,0,0.0,1.0,4.5,7.5,0.12246938625735783,0.0,1.0,4.5,7.5,-1.0,-1,0,0.7968555580752299
217,1,0,0.8555342022783774,9.76824937367286,9.76824937367286,-1,0.594781378696593,0.8925149754019602,0,0,1.0,2.0,2.5,3.0,0.18447689359377165,1.0,2.0,2.5,3.0,0.8555342022783774,-1,1,0.8925149754019602
218,3,0,-1.0,10.0,10.0,-1,0.43342831929629816,0.777990047666421,0,0,0.0,0.0,6.5,3.5,0.1850157762350621,0.0,0.0,6.5,3.5,-1.0,-1,3,0.777990047666421
219,2,0,-0.998947990758333,10.0,10.0,-1,0.7410388507783776,0.9046233104670267,0,0,0.0,0.0,0.0,3.5,0.21834332030706596,0.0,0.0,0.0,3.5,-0.998947990758333,-1,2,0.9046233104670267
220,1,0,-1.0,10.0,10.0,1,0.5854284510293781,0.9989495338146444,1,1,0.0,0.0,5.5,4.5,0.2153413333427967,0.0,0.0,5.5,4.5,-1.0,1,1,0.9989495338146444
221,4,0,-1.0,10.0,10.0,1,0.4929511341687797,0.7368359541778863,0,0,0.0,0.0,4.0,2.5,0.19578543105091314,0.0,0.0,4.0,2.5,-1.0,1,4,0.7368359541778863
222,3,0,-1.0,10.0,10.0,1,0.2792857815088031,0.7365214310563353,1,1,0.0,0.0,5.5,6.5,0.1134034340882289,0.0,0.0,5.5,6.5,-1.0,1,3,0.7365214310563353
223,5,0,-1.0,10.0,10.0,-1,0.7411499977113227,1.0,0,0,0.0,0.0,4.0,7.5,0.24935408663733236,0.0,0.0,4.0,7.5,-1.0,-1,5,1.0
224,2,0,0.2352782341314949,10.0,10.0,-1,0.5280901209630626,0.7821285723056253,0,0,0.0,0.0,4.0,2.0,0.19284769017153602,0.0,0.0,4.0,2.0,0.2352782341314949,-1,2,0.7821285723056253
225,2,0,-1.0,10.0,10.0,-1,0.37103178377685053,0.6366907095686793,1,0,0.0,1.0,5.0,1.5,0.14779202489616897,0.0,1.0,5.0,1.5,-1.0,-1,2,0.6366907095686793
226,6,0,-1.0,10.0,10.0,-1,0.7267561350900227,1.0,0,0,0.0,1.0,5.0,4.5,0.256636883147566,0.0,1.0,5.0,4.5,-1.0,-1,6,1.0
227,1,0,-1.0,10.0,10.0,-1,0.23266425643664468,0.5865620786493989,0,0,0.0,1.0,4.0,5.5,0.1218124790097479,0.0,1.0,4.0,5.5,-1.0,-1,1,0.5865620786493989
228,2,0,-0.9871871427941536,10.0,10.0,1,0.388446150397743,0.7200735216346109,1,1,0.0,0.0,5.0,2.5,0.12183284619613281,0.0,0.0,5.0,2.5,-0.9871871427941536,1,2,0.7200735216346109
229,5,0,-1.0,10.0,10.0,-1,0.5220970407212886,0.8304483737818694,0,0,0.0,1.0,2.5,4.5,0.2306393765384009,0.0,1.0,2.5,4.5,-1.0,-1,5,0.8304483737818694
230,8,0,-1.0,10.0,10.0,-1,0.40388860162597584,0.6440007975205395,0,0,0.0,1.0,5.0,1.5,0.17752750434002815,0.0,1.0,5.0,1.5,-1.0,-1,8,0.6440007975205395
231,5,0,-1.0,9.57377051488529,9.57377051488529,-1,0.48604055322731476,0.7602797302667131,0,0,0.0,3.0,1.0,2.5,0.20864526132239916,0.0,3.0,1.0,2.5,-1.0,-1,5,0.7602797302667131
232,2,0,0.8760482976745984,10.0,10.0,1,0.3585897513985904,0.6155404141333249,1,0,0.0,0.0,5.5,1.5,0.1402027046006643,0.0,0.0,5.5,1.5,0.8760482976745984,1,2,0.6155404141333249
233,3,0,-1.0,10.0,10.0,-1,0.2780498545597383,0.48459075336004465,0,0,0.0,0.0,3.5,1.5,0.12636339889442022,0.0,0.0,3.5,1.5,-1.0,-1,3,0.48459075336004465
234,5,0,-1.0,10.0,10.0,-1,0.22211248317011104,0.42365011963558225,0,0,0.0,0.0,3.5,1.5,0.12397243673093399,0.0,0.0,3.5,1.5,-1.0,-1,5,0.42365011963558225
235,1,0,-1.0,10.0,10.0,1,0.2945879389472852,0.5016473147554854,1,0,0.0,0.0,0.0,3.5,0.12082001025572112,0.0,0.0,0.0,3.5,-1.0,1,1,0.5016473147554854
236,4,0,-1.0,10.0,10.0,-1,0.7717679084148872,1.0,0,0,0.0,1.0,6.0,4.5,0.24092031521132712,0.0,1.0,6.0,4.5,-1.0,-1,4,1.0
237,6,0,-0.9208384110310112,10.0,10.0,-1,0.5452418800020431,0.856957766283565,0,0,0.0,1.0,3.0,5.5,0.23158809365560332,0.0,1.0,3.0,5.5,-0.9208384110310112,-1,6,0.856957766283565
238,3,0,-0.9908830944878084,10.0,10.0,1,0.49337607516677096,0.7444800539889685,0,0,0.0,0.0,1.5,4.5,0.19226155796661953,0.0,0.0,1.5,4.5,-0.9908830944878084,1,3,0.7444800539889685
239,4,0,-0.770321531006438,10.0,10.0,-1,0.4305943035834252,0.7867339183263982,0,0,0.0,0.0,4.5,7.0,0.1736548967439105,0.0,0.0,4.5,7.0,-0.770321531006438,-1,4,0.7867339183263982
240,5,0,-1.0,10.0,10.0,-1,0.6250520875900313,0.8603990742392625,0,0,0.0,0.0,5.0,1.5,0.23723388585246732,0.0,0.0,5.0,1.5,-1.0,-1,5,0.8603990742392625
241,5,0,-1.0,10.0,10.0,-1,0.28475568554365605,0.5060690771155256,0,0,0.0,0.0,2.0,2.5,0.1475950117133729,0.0,0.0,2.0,2.5,-1.0,-1,5,0.5060690771155256
242,5,0,-1.0,10.0,10.0,-1,0.3656779205915981,0.6485183924019621,0,0,0.0,0.0,5.0,3.5,0.16783383128271723,0.0,0.0,5.0,3.5,-1.0,-1,5,0.6485183924019621
243,7,0,-1.0,10.0,10.0,-1,0.5935412717982518,0.9171625398169472,0,0,0.0,1.0,5.0,4.5,0.24685258928278775,0.0,1.0,5.0,4.5,-1.0,-1,7,0.9171625398169472
244,2,0,-1.0,10.0,10.0,-1,0.4874386187511368,0.8652969821719108,0,0,0.0,2.0,4.5,6.5,0.1711363897821098,0.0,2.0,4.5,6.5,-1.0,-1,2,0.8652969821719108
245,4,0,-1.0,10.0,10.0,-1,0.6620555233754533,1.0,1,1,0.0,1.0,4.0,4.5,0.23086623816251947,0.0,1.0,4.0,4.5,-1.0,-1,4,1.0
246,13,0,-0.3131562829849157,10.0,10.0,-1,0.738265906373992,0.9029595438243954,1,0,0.0,0.0,2.5,1.5,0.291061196309218,0.0,0.0,2.5,1.5,-0.3131562829849157,-1,13,0.9029595438243954
247,4,0,-0.5231412924236812,10.0,10.0,-1,0.6940235548223938,0.9364141328934362,0,0,0.0,0.0,3.0,4.5,0.24092031521132712,0.0,0.0,3.0,4.5,-0.5231412924236812,-1,4,0.9364141328934362
248,4,0,-0.6845031659361684,10.0,10.0,-1,0.31052462855643925,0.6067063120167092,0,0,0.0,0.0,4.5,4.5,0.14481278805991976,0.0,0.0,4.5,4.5,-0.6845031659361684,-1,4,0.6067063120167092
249,5,0,-1.0,10.0,10.0,-1,0.25488214131618714,0.5258911369218919,0,0,0.0,0.0,5.0,2.0,0.14632357423993447,0.0,0.0,5.0,2.0,-1.0,-1,5,0.5258911369218919
250,6,0,-0.7727479185336297,10.0,10.0,-1,0.30166436032702915,0.6024148643174484,0,0,0.0,1.0,5.5,2.5,0.15615109680186595,0.0,1.0,5.5,2.5,-0.7727479185336297,-1,6,0.6024148643174484
251,7,0,-1.0,10.0,10.0,-1,0.6701184149601385,0.9420710489760832,0,0,0.0,0.0,3.0,5.5,0.2630570378634295,0.0,0.0,3.0,5.5,-1.0,-1,7,0.9420710489760832
252,7,0,-0.31845058326982756,10.0,10.0,-1,0.7482986536956264,0.988979192217376,0,0,0.0,0.0,4.0,4.0,0.2630570378634295,0.0,0.0,4.0,4.0,-0.31845058326982756,-1,7,0.988979192217376
253,3,0,-1.0,10.0,10.0,-1,0.7552693206223147,1.0,0,0,0.0,1.0,4.0,8.5,0.23086623816251947,0.0,1.0,4.0,8.5,-1.0,-1,3,1.0
254,3,0,-0.9686755759050704,10.0,10.0,-1,0.37892947362226737,0.799717278248673,1,0,0.0,0.0,4.0,9.0,0.18126383957976605,0.0,0.0,4.0,9.0,-0.9686755759050704,-1,3,0.799717278248673
255,7,0,-1.0,10.0,10.0,-1,0.7042048268081351,0.9367357178924146,0,0,0.0,0.0,1.5,6.5,0.2411871624380039,0.0,0.0,1.5,6.5,-1.0,-1,7,0.9367357178924146
256,1,0,-1.0,10.0,10.0,-1,0.521741321013258,0.9248621000954662,0,0,0.0,0.0,5.5,6.5,0.19567704217378515,0.0,0.0,5.5,6.5,-1.0,-1,1,0.9248621000954662
257,1,0,-1.0,10.0,10.0,-1,0.6936751090089245,1.0,0,0,0.0,1.0,5.0,5.5,0.20153739223931602,0.0,1.0,5.0,5.5,-1.0,-1,1,1.0
258,3,0,-1.0,10.0,10.0,-1,0.5290189054280007,0.8258557363637012,0,0,0.0,0.0,4.0,5.5,0.19225455866734847,0.0,0.0,4.0,5.5,-1.0,-1,3,0.8258557363637012
